,release_year,budget,revenue
0,1960,4161389.6,25801000.0
1,1961,4270777.777777778,37302243.11111111
2,1962,5635714.285714285,29475692.285714287
3,1963,10185833.333333334,29421147.0
4,1964,4847880.142857143,46944792.571428575
5,1965,11760000.0,91616370.8
6,1966,6453600.0,16947337.8
7,1967,7346153.846153846,56294972.07692308
8,1968,5994444.444444444,24691306.888888888
9,1969,5711021.75,57426769.0
10,1970,8718358.727272727,49997451.72727273
11,1971,3077076.923076923,28945131.53846154
12,1972,3378893.4285714286,67842881.57142857
13,1973,4777250.0,92917758.25
14,1974,5791666.666666667,57442335.583333336
15,1975,4587500.0,105034790.25
16,1976,8033333.333333333,49995102.4
17,1977,8153529.411764706,108832852.05882353
18,1978,11058000.0,73418005.93333334
19,1979,16428571.42857143,76360120.07142857
20,1980,13915217.391304348,57483289.73913044
21,1981,10616666.666666666,58603158.96296296
22,1982,13756000.0,86226253.8
23,1983,16160066.666666666,65989861.86666667
24,1984,13643975.333333334,57297264.166666664
25,1985,14968603.153846154,57852216.820512824
26,1986,13385106.382978724,46369170.27659574
27,1987,13606363.772727273,62666100.20454545
28,1988,14508928.57142857,55830749.98214286
29,1989,18980183.529411763,89645691.52941176
30,1990,23882620.0,93026614.4
31,1991,26326530.612244897,89043294.02040817
32,1992,23727559.56862745,99688001.2745098
33,1993,23941316.184615385,95009412.0
34,1994,30606551.724137932,112404792.22413793
35,1995,34171307.40789474,108267625.76315789
36,1996,36743650.6375,96424446.9375
37,1997,45770303.125,118136418.55681819
38,1998,43888333.333333336,102475663.87777779
39,1999,44245945.94594595,100008143.93693693
40,2000,46136538.461538464,105284664.72115384
41,2001,45242860.86956522,115151280.01739131
42,2002,44603307.09917355,119076340.61157025
43,2003,46806733.75,127220097.8362069
44,2004,48380826.70072993,119353363.1970803
45,2005,43913648.96753247,104323788.41558442
46,2006,42885636.94267516,99537070.1910828
47,2007,46376317.567567565,124484279.8445946
48,2008,44319854.08805031,119241547.48427673
49,2009,46253991.67901234,133367671.17283951
50,2010,52646719.72327044,137086358.36477986
51,2011,48503738.29651163,136000990.0116279
52,2012,51991681.81818182,169092124.8881119
53,2013,50833053.89221557,145801756.0239521
54,2014,47706818.18181818,156176867.33766234
55,2015,47345533.36,174390378.55333334
