,original_title,release_year,budget,revenue,profit
0,Jurassic World,2015,150000000,1513528810,1363528810
1,Mad Max: Fury Road,2015,150000000,378436354,228436354
2,Insurgent,2015,110000000,295238201,185238201
3,Star Wars: The Force Awakens,2015,200000000,2068178225,1868178225
4,Furious 7,2015,190000000,1506249360,1316249360
5,The Revenant,2015,135000000,532950503,397950503
6,Terminator Genisys,2015,155000000,440603537,285603537
7,The Martian,2015,108000000,595380321,487380321
8,Minions,2015,74000000,1156730962,1082730962
9,Inside Out,2015,175000000,853708609,678708609
10,Spectre,2015,245000000,880674609,635674609
11,Jupiter Ascending,2015,176000003,183987723,7987720
12,Ex Machina,2015,15000000,36869414,21869414
13,Pixels,2015,88000000,243637091,155637091
14,Avengers: Age of Ultron,2015,280000000,1405035767,1125035767
15,The Hateful Eight,2015,44000000,155760117,111760117
16,Taken 3,2015,48000000,325771424,277771424
17,Ant-Man,2015,130000000,518602163,388602163
18,Cinderella,2015,95000000,542351353,447351353
19,The Hunger Games: Mockingjay - Part 2,2015,160000000,650523427,490523427
20,Tomorrowland,2015,190000000,209035668,19035668
21,Southpaw,2015,30000000,91709827,61709827
22,San Andreas,2015,110000000,470490832,360490832
23,Fifty Shades of Grey,2015,40000000,569651467,529651467
24,The Big Short,2015,28000000,133346506,105346506
25,Mission: Impossible - Rogue Nation,2015,150000000,682330139,532330139
26,Ted 2,2015,68000000,215863606,147863606
27,Kingsman: The Secret Service,2015,81000000,403802136,322802136
28,Spotlight,2015,20000000,88346473,68346473
29,Maze Runner: The Scorch Trials,2015,61000000,311256926,250256926
31,Chappie,2015,49000000,102069268,53069268
32,Pitch Perfect 2,2015,29000000,287506194,258506194
33,Bridge of Spies,2015,40000000,162610473,122610473
34,Goosebumps,2015,58000000,150170815,92170815
35,Room,2015,6000000,35401758,29401758
37,The Good Dinosaur,2015,175000000,331926147,156926147
38,Run All Night,2015,50000000,71561644,21561644
39,Brooklyn,2015,11000000,62076141,51076141
40,Straight Outta Compton,2015,28000000,201634991,173634991
41,The Last Witch Hunter,2015,90000000,140396650,50396650
42,Steve Jobs,2015,30000000,34441873,4441873
43,The Man from U.N.C.L.E.,2015,75000000,108145109,33145109
44,The Age of Adaline,2015,25000000,42629776,17629776
45,Hardcore Henry,2015,10000000,14333790,4333790
46,Home,2015,135000000,368871007,233871007
47,Paper Towns,2015,12000000,85512300,73512300
49,The Lobster,2015,4000000,9064511,5064511
50,Carol,2015,11800000,40272135,28472135
51,The Intern,2015,35000000,194564672,159564672
52,Everest,2015,55000000,203427584,148427584
53,Joy,2015,60000000,101134059,41134059
54,Point Break,2015,105000000,133718711,28718711
55,Burnt,2015,20000000,36606743,16606743
56,Self/less,2015,26000000,30523226,4523226
57,Mortdecai,2015,60000000,30418560,-29581440
58,The Danish Girl,2015,15000000,64191523,49191523
59,Blackhat,2015,70000000,17752940,-52247060
60,Sicario,2015,30000000,84025816,54025816
61,Fantastic Four,2015,120000001,167977596,47977595
62,The Witch,2015,3500000,40423945,36923945
63,Spy,2015,65000000,235666219,170666219
64,Focus,2015,50100000,153962963,103862963
65,Hitman: Agent 47,2015,35000000,82347656,47347656
66,In the Heart of the Sea,2015,100000000,93820758,-6179242
68,Creed,2015,35000000,137935567,102935567
69,Trainwreck,2015,35000000,140795793,105795793
70,Eye in the Sky,2015,13000000,32848185,19848185
71,Legend,2015,25000000,42972994,17972994
73,Pan,2015,150000000,128388320,-21611680
76,The Peanuts Movie,2015,99000000,246233113,147233113
77,Concussion,2015,35000000,48623572,13623572
78,The Night Before,2015,25000000,52395996,27395996
79,Knock Knock,2015,2500000,5214043,2714043
80,The Longest Ride,2015,34000000,63013281,29013281
81,Hotel Transylvania 2,2015,80000000,466183544,386183544
82,Love the Coopers,2015,17000000,24000000,7000000
83,The Walk,2015,35000000,61181942,26181942
