,release_year,runtime
0,1960,134.1875
1,1961,133.74193548387098
2,1962,128.21875
3,1963,145.14705882352942
4,1964,129.0
5,1965,176.65714285714284
6,1966,369.0869565217391
7,1967,143.325
8,1968,126.28205128205128
9,1969,181.09677419354838
10,1970,169.73170731707316
11,1971,129.94545454545454
12,1972,106.65
13,1973,161.61818181818182
14,1974,127.0
15,1975,127.86363636363636
16,1976,135.3404255319149
17,1977,85.0
18,1978,201.86153846153846
19,1979,110.0
20,1980,107.0
21,1981,113.13414634146342
22,1982,117.5925925925926
23,1983,110.6375
24,1984,110.0
25,1985,101.08256880733946
26,1986,151.7520661157025
27,1987,124.952
28,1988,123.4
29,1989,120.21897810218978
30,1990,131.71212121212122
31,1991,121.54135338345864
32,1992,112.50375939849624
33,1993,138.82584269662922
34,1994,95.0
35,1995,111.49142857142857
36,1996,114.43627450980392
37,1997,98.203125
38,1998,118.8
39,1999,89.97321428571429
40,2000,116.1762114537445
41,2001,90.0
42,2002,94.10526315789474
43,2003,97.41637010676156
44,2004,105.64169381107492
45,2005,102.39835164835165
46,2006,104.17892156862744
47,2007,108.12785388127854
48,2008,91.05040322580645
49,2009,86.31332082551594
50,2010,88.50511247443762
51,2011,92.80740740740741
52,2012,95.99319727891157
53,2013,99.90895295902884
54,2014,81.85571428571428
55,2015,47.71070234113712
