,release_year,runtime,hour_min_format
0,1960,134.1875,02:14
1,1961,133.74193548387098,02:13
2,1962,128.21875,02:08
3,1963,145.14705882352942,02:25
4,1964,129.0,02:09
5,1965,176.65714285714284,02:56
6,1966,369.0869565217391,06:09
7,1967,143.325,02:23
8,1968,126.28205128205128,02:06
9,1969,181.09677419354838,03:01
10,1970,169.73170731707316,02:49
11,1971,129.94545454545454,02:09
12,1972,106.65,01:46
13,1973,161.61818181818182,02:41
14,1974,127.0,02:07
15,1975,127.86363636363636,02:07
16,1976,135.3404255319149,02:15
17,1977,85.0,01:25
18,1978,201.86153846153846,03:21
19,1979,110.0,01:50
20,1980,107.0,01:47
21,1981,113.13414634146342,01:53
22,1982,117.5925925925926,01:57
23,1983,110.6375,01:50
24,1984,110.0,01:50
25,1985,101.08256880733946,01:41
26,1986,151.7520661157025,02:31
27,1987,124.952,02:04
28,1988,123.4,02:03
29,1989,120.21897810218978,02:00
30,1990,131.71212121212122,02:11
31,1991,121.54135338345864,02:01
32,1992,112.50375939849624,01:52
33,1993,138.82584269662922,02:18
34,1994,95.0,01:35
35,1995,111.49142857142857,01:51
36,1996,114.43627450980392,01:54
37,1997,98.203125,01:38
38,1998,118.8,01:58
39,1999,89.97321428571429,01:29
40,2000,116.1762114537445,01:56
41,2001,90.0,01:30
42,2002,94.10526315789474,01:34
43,2003,97.41637010676156,01:37
44,2004,105.64169381107492,01:45
45,2005,102.39835164835165,01:42
46,2006,104.17892156862744,01:44
47,2007,108.12785388127854,01:48
48,2008,91.05040322580645,01:31
49,2009,86.31332082551594,01:26
50,2010,88.50511247443762,01:28
51,2011,92.80740740740741,01:32
52,2012,95.99319727891157,01:35
53,2013,99.90895295902884,01:39
54,2014,81.85571428571428,01:21
55,2015,47.71070234113712,00:47
