,original_title,release_year,runtime
0,Village of the Damned,1960,135
1,Exodus,1960,135
2,The City of the Dead,1960,135
3,Cinderfella,1960,135
4,13 Ghosts,1960,135
5,The Bellboy,1960,135
6,Blue Hawaii,1961,134
7,"One, Two, Three",1961,134
8,Devchata,1961,134
9,Barabbas,1961,134
10,Pocketful of Miracles,1961,134
11,The Day the Earth Caught Fire,1961,134
12,Il colosso di Rodi,1961,134
13,The Ladies Man,1961,134
14,A Raisin in the Sun,1961,134
15,Babes in Toyland,1961,134
16,One-Eyed Jacks,1961,134
17,The Hustler,1961,134
18,The Children's Hour,1961,134
19,The Curse of the Werewolf,1961,134
20,Splendor in the Grass,1961,134
21,Mysterious Island,1961,134
22,The Pit and the Pendulum,1961,134
23,The Absent-Minded Professor,1961,134
24,The Misfits,1961,134
25,King of Kings,1961,134
26,The Innocents,1961,134
27,El Cid,1961,134
28,Two Rode Together,1961,134
29,Advise & Consent,1962,129
30,That Touch of Mink,1962,129
31,Ride the High Country,1962,129
32,Carnival of Souls,1962,129
33,Hell Is for Heroes,1962,129
34,In Search of the Castaways,1962,129
35,Premature Burial,1962,129
36,McLintock!,1963,146
37,Lilies of the Field,1963,146
38,Jason and the Argonauts,1963,146
39,X: The Man with the X-Ray Eyes,1963,146
40,Billy Liar,1963,146
41,The Haunted Palace,1963,146
42,The Servant,1963,146
43,The Prize,1963,146
44,The Kiss of the Vampire,1963,146
45,La frusta e il corpo,1963,146
46,Fail-Safe,1964,129
47,A Shot in the Dark,1964,129
48,The Last Man on Earth,1964,129
49,The Masque of the Red Death,1964,129
50,Murder Ahoy,1964,129
51,Send Me No Flowers,1964,129
52,Zulu,1964,129
53,Carry On Cleo,1964,129
54,The Incredible Mr. Limpet,1964,129
55,The Train,1964,129
56,Marnie,1964,129
57,My Fair Lady,1964,129
58,"Rudolph, the Red-Nosed Reindeer",1964,129
59,A Hard Day's Night,1964,129
60,Mary Poppins,1964,129
61,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,129
62,Goldfinger,1964,129
63,The Gorgon,1964,129
64,Viva Las Vegas,1964,129
65,The Naked Kiss,1964,129
66,Scorpio Rising,1964,129
67,Father Goose,1964,129
68,Seven Days in May,1964,129
69,Two Thousand Maniacs!,1964,129
70,"Hush... Hush, Sweet Charlotte",1964,129
71,Becket,1964,129
72,The Americanization of Emily,1964,129
73,Robin and the 7 Hoods,1964,129
74,Cheyenne Autumn,1964,129
75,"Kiss Me, Stupid",1964,129
76,First Men in the Moon,1964,129
77,Man's Favorite Sport?,1964,129
78,Robinson Crusoe on Mars,1964,129
79,Paris When It Sizzles,1964,129
80,Il deserto rosso,1964,129
81,Zorba the Greek,1964,129
82,Topkapi,1964,129
83,The Killers,1964,129
84,The Night of the Iguana,1964,129
85,Dead Ringer,1964,129
86,Seance on a Wet Afternoon,1964,129
87,The Tomb of Ligeia,1964,129
88,That Darn Cat!,1965,180
89,I Saw What You Did,1965,180
90,"Die, Monster, Die!",1965,180
91,Manos: The Hands of Fate,1966,900
92,Magical Mystery Tour,1967,144
93,Bedazzled,1967,144
94,KaijÅ«tÅ no Kessen: Gojira no Musuko,1967,144
95,Spider Baby,1967,144
96,Two for the Road,1967,144
97,A Countess from Hong Kong,1967,144
98,The War Wagon,1967,144
99,Point Blank,1967,144
100,Thoroughly Modern Millie,1967,144
101,Dont Look Back,1967,144
102,The Gnome-Mobile,1967,144
103,Frankenstein Created Woman,1967,144
104,In Like Flint,1967,144
105,Follow That Camel,1967,144
106,Who's That Knocking at My Door,1967,144
107,Six Men Getting Sick,1967,144
108,Charly,1968,127
109,The Alphabet,1968,127
110,The Big Shave,1968,127
111,Head,1968,127
112,Ice Station Zebra,1968,127
113,Carry On... Up the Khyber,1968,127
114,Coogan's Bluff,1968,127
115,Hellfighters,1968,127
116,The Devil's Brigade,1968,127
117,"Yours, Mine and Ours",1968,127
118,Witchfinder General,1968,127
119,Downhill Racer,1969,183
120,DoppelgÃ¤nger,1969,183
121,The Prime of Miss Jean Brodie,1969,183
122,Carry On Camping,1969,183
123,Bambi Meets Godzilla,1969,183
124,There Was a Crooked Man...,1970,173
125,The Man Who Haunted Himself,1970,173
126,And Soon the Darkness,1970,173
127,The Vampire Lovers,1970,173
128,Waterloo,1970,173
129,The Private Life of Sherlock Holmes,1970,173
130,Wake in Fright,1971,130
131,Shaft,1971,130
132,Macbeth,1971,130
133,The Andromeda Strain,1971,130
134,Big Jake,1971,130
135,Two-Lane Blacktop,1971,130
136,Walkabout,1971,130
137,Vanishing Point,1971,130
138,GiÃ¹ la testa,1971,130
139,Fiddler on the Roof,1971,130
140,The Last Picture Show,1971,130
141,McCabe & Mrs. Miller,1971,130
142,The House That Dripped Blood,1971,130
143,Get Carter,1971,130
144,Bananas,1971,130
145,The Omega Man,1971,130
146,Duel,1971,130
147,The Panic in Needle Park,1971,130
148,Hannie Caulder,1971,130
149,Monty Python's And Now for Something Completely Different,1971,130
150,Play Misty for Me,1971,130
151,Summer of '42,1971,130
152,The French Connection,1971,130
153,Harold and Maude,1971,130
154,THX 1138,1971,130
155,Bedknobs and Broomsticks,1971,130
156,Straw Dogs,1971,130
157,Escape from the Planet of the Apes,1971,130
158,Dirty Harry,1971,130
159,Sunday Bloody Sunday,1971,130
160,The Anderson Tapes,1971,130
161,Klute,1971,130
162,The Abominable Dr. Phibes,1971,130
163,Johnny Got His Gun,1971,130
164,The Hospital,1971,130
165,Les lÃ¨vres rouges,1971,130
166,The Go-Between,1971,130
167,The Devils,1971,130
168,10 Rillington Place,1971,130
169,Punishment Park,1971,130
170,Nicholas and Alexandra,1971,130
171,The Beguiled,1971,130
172,Countess Dracula,1971,130
173,Brian's Song,1971,130
174,Man in the Wilderness,1971,130
175,Le Mans,1971,130
176,A New Leaf,1971,130
177,Sacco e Vanzetti,1971,130
178,Carnal Knowledge,1971,130
179,Dad's Army,1971,130
180,Twins of Evil,1971,130
181,Hands of the Ripper,1971,130
182,Night of the Lepus,1972,107
183,Asylum,1972,107
184,The Other,1972,107
185,The Life and Times of Judge Roy Bean,1972,107
186,"Snoopy, Come Home",1972,107
187,Across 110th Street,1972,107
188,The Candidate,1972,107
189,Fritz the Cat,1972,107
190,Avanti!,1972,107
191,Carry On Abroad,1972,107
192,Pink Floyd: Live at Pompeii,1972,107
193,Boxcar Bertha,1972,107
194,"Play It Again, Sam",1972,107
195,Tales from the Crypt,1972,107
196,"Now You See Him, Now You Don't",1972,107
197,The Getaway,1972,107
198,The Cowboys,1972,107
199,Sleuth,1972,107
200,The Mechanic,1972,107
201,The Poseidon Adventure,1972,107
202,Chato's Land,1972,107
203,Blacula,1972,107
204,Milano Calibro 9,1972,107
205,Carry On Matron,1972,107
206,Dr. Phibes Rises Again,1972,107
207,Fat City,1972,107
208,Dillinger,1973,166
209,Theatre of Blood,1973,166
210,The Sugarland Express,1974,127
211,Herbie Rides Again,1974,127
212,Murder on the Orient Express,1974,127
213,Blazing Saddles,1974,127
214,The Four Musketeers,1974,127
215,Airport 1975,1974,127
216,Foxy Brown,1974,127
217,Il portiere di notte,1974,127
218,The Great Gatsby,1974,127
219,Deranged,1974,127
220,Black Christmas,1974,127
221,Thunderbolt and Lightfoot,1974,127
222,Dark Star,1974,127
223,Female Trouble,1974,127
224,The Conversation,1974,127
225,The Texas Chain Saw Massacre,1974,127
226,Young Frankenstein,1974,127
227,The Man with the Golden Gun,1974,127
228,Chinatown,1974,127
229,The Godfather: Part II,1974,127
230,The Taking of Pelham One Two Three,1974,127
231,Phantom of the Paradise,1974,127
232,Alice Doesn't Live Here Anymore,1974,127
233,Lenny,1974,127
234,Death Wish,1974,127
235,Hearts and Minds,1974,127
236,Benji,1974,127
237,Where the Red Fern Grows,1974,127
238,Flesh Gordon,1974,127
239,The Amputee,1974,127
240,A Woman Under the Influence,1974,127
241,Madhouse,1974,127
242,Captain Kronos: Vampire Hunter,1974,127
243,The Count of Monte-Cristo,1974,127
244,The Year Without a Santa Claus,1974,127
245,The Parallax View,1974,127
246,The Odessa File,1974,127
247,It's Alive,1974,127
248,The Towering Inferno,1974,127
249,Gone in 60 Seconds,1974,127
250,Zardoz,1974,127
251,The Front Page,1974,127
252,Bring Me the Head of Alfredo Garcia,1974,127
253,The Longest Yard,1974,127
254,Phase IV,1974,127
255,Animals Are Beautiful People,1974,127
256,Earthquake,1974,127
257,The Land That Time Forgot,1975,128
258,The Sunshine Boys,1975,128
259,The Adventure of Sherlock Holmes' Smarter Brother,1975,128
260,Dog Day Afternoon,1975,128
261,The Eiger Sanction,1975,128
262,Shivers,1975,128
263,Bug,1975,128
264,The Man Who Would Be King,1975,128
265,Rollerball,1975,128
266,The Hindenburg,1975,128
267,Professione: reporter,1975,128
268,Shampoo,1975,128
269,Rooster Cogburn,1975,128
270,Nashville,1975,128
271,The Stepford Wives,1975,128
272,Three Days of the Condor,1975,128
273,Breakheart Pass,1975,128
274,Tommy,1975,128
275,Supervixens,1975,128
276,Hard Times,1975,128
277,French Connection II,1975,128
278,Picnic at Hanging Rock,1975,128
279,Black Moon,1975,128
280,Escape to Witch Mountain,1975,128
281,Love and Death,1975,128
282,Death Race 2000,1975,128
283,A Boy and His Dog,1975,128
284,Ilsa: She Wolf of the SS,1975,128
285,The Apple Dumpling Gang,1975,128
286,The Story of O,1975,128
287,Race with the Devil,1975,128
288,The Wind and the Lion,1975,128
289,Grey Gardens,1975,128
290,Night Moves,1975,128
291,The Ultimate Warrior,1975,128
292,Boss Nigger,1975,128
293,Coonskin,1975,128
294,Trilogy of Terror,1975,128
295,The Front,1976,136
296,The Bad News Bears,1976,136
297,The Food of the Gods,1976,136
298,Du bi quan wang da po xue di zi,1976,136
299,Î¤Î± Ï€Î±Î¹Î´Î¹Î¬ Ï„Î¿Ï… Î´Î¹Î±Î²ÏŒÎ»Î¿Ï…,1976,136
300,Car Wash,1976,136
301,The Song Remains the Same,1976,136
302,Cannonball,1976,136
303,Bugsy Malone,1976,136
304,Midway,1976,136
305,Squirm,1976,136
306,A Star Is Born,1976,136
307,Burnt Offerings,1976,136
308,Silent Movie,1976,136
309,Robin and Marian,1976,136
310,The Town That Dreaded Sundown,1976,136
311,Pete's Dragon,1977,85
312,Star Wars,1977,85
313,The Spy Who Loved Me,1977,85
314,The Rescuers,1977,85
315,Annie Hall,1977,85
316,March or Die,1977,85
317,Sinbad and the Eye of the Tiger,1977,85
318,Close Encounters of the Third Kind,1977,85
319,A Bridge Too Far,1977,85
320,The Many Adventures of Winnie the Pooh,1977,85
321,Herbie Goes To Monte Carlo,1977,85
322,High Anxiety,1977,85
323,Saturday Night Fever,1977,85
324,Sorcerer,1977,85
325,Smokey and the Bandit,1977,85
326,Pumping Iron,1977,85
327,Kingdom of the Spiders,1977,85
328,3 Women,1977,85
329,"Oh, God!",1977,85
330,The Last Wave,1977,85
331,Orca: The Killer Whale,1977,85
332,The White Buffalo,1977,85
333,The Serpent's Egg,1977,85
334,Black Sunday,1977,85
335,The Man in the Iron Mask,1977,85
336,The Hobbit,1977,85
337,The Message,1977,85
338,Rolling Thunder,1977,85
339,Eraserhead,1977,85
340,Jabberwocky,1977,85
341,Airport '77,1977,85
342,Exorcist II: The Heretic,1977,85
343,Audrey Rose,1977,85
344,Julia,1977,85
345,The Duellists,1977,85
346,Slap Shot,1977,85
347,"New York, New York",1977,85
348,Cross of Iron,1977,85
349,The Gauntlet,1977,85
350,Wizards,1977,85
351,The Car,1977,85
352,Candleshoe,1977,85
353,Rollercoaster,1977,85
